ProductID,ProductName,ProductBrand,Gender,Price,Description,PrimaryColor,quantity,stock,Category,Image
1129,Classic 26 NI,Nike,Men,7999,Lightweight and breathable running shoes,Green,209,In Stock,Basketball Shoes,https://images.unsplash.com/photo-1628012129394-04246f369582?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxOaWtlJTIwQmFza2V0YmFsbCUyMFNob2VzJTIwc2hvZXN8ZW58MHwyfHx8MTc1MDYxMzQ4OXww&ixlib=rb-4.1.0&q=80&w=1080
1130,Zoom 90 NI,Nike,Women,10999,Iconic skateboarding shoes with relaxed fit,Black,781,In Stock,Skateboarding Shoes,https://images.unsplash.com/photo-1632250321290-4bbc6302daaf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxOaWtlJTIwU2thdGVib2FyZGluZyUyMFNob2VzJTIwc2hvZXN8ZW58MHwyfHx8MTc1MDYxMzQ5MXww&ixlib=rb-4.1.0&q=80&w=1080
1131,Fly 39 AD,Adidas,Women,5999,Classic basketball shoes with modern twist,Black,366,In Stock,Skateboarding Shoes,https://images.unsplash.com/photo-1644416972807-22a2d1fb332b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxBZGlkYXMlMjBTa2F0ZWJvYXJkaW5nJTIwU2hvZXMlMjBzaG9lc3xlbnwwfDJ8fHwxNzUwNjEzNDkzfDA&ixlib=rb-4.1.0&q=80&w=1080
1132,Fly 73 NI,Nike,Women,3999,Supportive and responsive running shoes,Red,35,Low Stock,Skateboarding Shoes,https://images.unsplash.com/photo-1632250321290-4bbc6302daaf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxOaWtlJTIwU2thdGVib2FyZGluZyUyMFNob2VzJTIwc2hvZXN8ZW58MHwyfHx8MTc1MDYxMzQ5MXww&ixlib=rb-4.1.0&q=80&w=1080
1133,Air 20 NI,Nike,Men,9999,Classic basketball shoes with modern twist,Pink,72,In Stock,Casual Shoes,https://images.unsplash.com/photo-1632250321290-4bbc6302daaf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxOaWtlJTIwQ2FzdWFsJTIwU2hvZXMlMjBzaG9lc3xlbnwwfDJ8fHwxNzUwNjEzNDk3fDA&ixlib=rb-4.1.0&q=80&w=1080
1134,Bold 97 AD,Adidas,Unisex,12999,Lightweight and breathable running shoes,Pink,471,In Stock,Casual Shoes,https://images.unsplash.com/photo-1645106281638-79585657aa4e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxBZGlkYXMlMjBDYXN1YWwlMjBTaG9lcyUyMHNob2VzfGVufDB8Mnx8fDE3NTA2MTM0OTl8MA&ixlib=rb-4.1.0&q=80&w=1080
1135,Classic 32 NI,Nike,Women,5999,Flexible and lightweight running shoes,Grey,170,In Stock,Casual Shoes,https://images.unsplash.com/photo-1632250321290-4bbc6302daaf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxOaWtlJTIwQ2FzdWFsJTIwU2hvZXMlMjBzaG9lc3xlbnwwfDJ8fHwxNzUwNjEzNDk3fDA&ixlib=rb-4.1.0&q=80&w=1080
1136,Zoom 57 VA,Vans,Women,7999,Iconic skateboarding shoes with relaxed fit,Green,631,In Stock,Basketball Shoes,https://images.unsplash.com/photo-1586626774973-562ec198ae68?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxWYW5zJTIwQmFza2V0YmFsbCUyMFNob2VzJTIwc2hvZXN8ZW58MHwyfHx8MTc1MDYxMzUwM3ww&ixlib=rb-4.1.0&q=80&w=1080
1137,Zoom 38 AD,Adidas,Men,9999,Lightweight and breathable running shoes,Brown,376,In Stock,Skateboarding Shoes,https://images.unsplash.com/photo-1644416972807-22a2d1fb332b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxBZGlkYXMlMjBTa2F0ZWJvYXJkaW5nJTIwU2hvZXMlMjBzaG9lc3xlbnwwfDJ8fHwxNzUwNjEzNDkzfDA&ixlib=rb-4.1.0&q=80&w=1080
1138,Classic 23 AD,Adidas,Women,8999,Iconic skateboarding shoes with relaxed fit,Purple,642,In Stock,Basketball Shoes,https://images.unsplash.com/photo-1586626774973-562ec198ae68?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3Njc1NDd8MHwxfHNlYXJjaHwxfHxBZGlkYXMlMjBCYXNrZXRiYWxsJTIwU2hvZXMlMjBzaG9lc3xlbnwwfDJ8fHwxNzUwNjEzNTA3fDA&ixlib=rb-4.1.0&q=80&w=1080
